route_num,video_name,window_idx,window_start_sec,window_end_sec,car_count,cyclist_motorcycle_count,dynamic_object_area_ratio,large_vehicle_ratio,person_count,total_object_count,traffic_sign_count,truck_bus_count,car_speed_mean,car_accel_mean,car_jerk_mean,person_speed_mean,cyclist_speed_mean,pedestrian_crossing_count,min_ttc,risk_count
2,CUT 3,6,6.0,9.0,4.0,0.0,0.0122297032674153,0.0,0.0,4.0,0.0,0.0,22.20129518310848,748.6203706059056,18119.57725824928,,,0,1.383648815257236,2
2,CUT 3,7,7.0,10.0,5.0,0.0,0.0105355268054538,0.0,0.0,5.0,0.0,0.0,16.027351999046164,524.125432705392,11789.689565964962,,,0,1.141342804750778,1
2,CUT 3,8,8.0,11.0,5.0,0.0,0.0102628077401055,0.0,0.0,5.0,0.0,0.0,11.624121801308249,410.5480283417407,8741.674183869269,,,0,1.2765882789419287,1
2,CUT 3,9,9.0,12.0,5.0,0.0,0.0081296237309773,0.0,0.0,5.0,0.0,0.0,12.61772868490721,475.5377438167383,9357.740765241728,,,0,1.2454111056255657,1
2,CUT 3,10,10.0,13.0,4.0,0.0,0.0074256065156724,0.0,0.0,4.0,0.0,0.0,7.438375260360378,327.7499045137229,6485.488285303568,,,0,11.03155124332474,0
2,CUT 3,11,11.0,14.0,4.0,0.0,0.0074372429317898,0.0,0.0,4.0,0.0,0.0,10.741213463990006,397.7077636262175,7987.446963928784,,,0,2.9235376354748244,1
2,CUT 3,12,12.0,15.0,5.0,0.0,0.0078620754347907,0.0,0.0,5.0,0.0,0.0,12.058572546283562,408.5654413782841,8665.052774774807,,,0,3.2366403249314875,0
2,CUT 3,13,13.0,16.0,6.0,0.0,0.0111391634411282,0.0,0.0,6.0,1.0,0.0,11.529552978754962,401.5289324296713,9468.84897809186,,,0,4.553173332861483,0
2,CUT 3,14,14.0,17.0,8.0,0.0,0.0192147837744818,0.0,0.0,8.0,3.0,0.0,11.599879075201056,399.0347286233359,8970.583425360554,,,0,4.519556277514517,0
2,CUT 3,15,15.0,18.0,8.0,0.0,0.0214629522959391,0.0,0.0,8.0,3.0,0.0,10.101994659173007,354.7999446355542,7748.146651766272,,,0,5.087991321229247,0
2,CUT 3,16,16.0,19.0,9.0,0.0,0.0240892293718126,0.0,0.0,9.0,3.0,0.0,13.1708080559832,436.9200351716183,9958.578847205406,,,0,3.26867200185388,0
2,CUT 3,17,17.0,20.0,9.0,0.0,0.0285914452870686,0.0,0.0,9.0,3.0,0.0,20.604292932716103,671.7401894042741,16452.821181410665,,,0,2.5250248775750213,1
2,CUT 3,18,18.0,21.0,9.0,0.0,0.0312062136332194,0.0,0.0,9.0,3.0,0.0,26.12737705203538,843.6246882108585,19265.688353985784,,,0,0.926716765899816,1
2,CUT 3,19,19.0,22.0,9.0,0.0,0.036468694474962,0.0,0.0,9.0,5.0,0.0,33.21905577499797,1043.6347427979338,24204.845971632152,,,0,1.5729103226665009,1
2,CUT 3,20,20.0,23.0,8.0,0.0,0.0365145789252387,0.0,0.0,8.0,5.5,0.0,43.22441136787639,1480.0714253517174,32871.54382981959,,,0,0.6674465950852121,4
2,CUT 3,21,21.0,24.0,8.0,0.0,0.0356386417812771,0.0,0.0,8.0,5.0,0.0,60.89106147745436,2171.060124292426,50227.14612261367,99.39139419522684,,0,0.6674465950852121,1
2,CUT 3,22,22.0,25.0,6.0,0.0,0.0344677744971381,0.0,0.0,7.0,4.0,0.0,63.33185016963271,2221.9864515979607,54345.81023905238,115.27373665004936,,0,0.6674465950852121,1
2,CUT 3,23,23.0,26.0,5.0,0.0,0.0308769543965657,0.0,0.0,5.5,2.0,0.0,80.21071531320888,3005.7592085840806,59919.74520379714,115.27373665004936,,0,3.640466911855143,0
2,CUT 3,24,24.0,27.0,4.0,0.0,0.0261887560950385,0.0,0.0,4.0,2.0,0.0,22.354451193412565,720.5291081327051,16354.3260161744,167.62438968656735,,0,2.7734282401459343,1
2,CUT 3,25,25.0,28.0,4.0,0.0,0.0213090472751193,0.0,0.0,4.0,1.0,0.0,40.55666077026493,1214.675984781751,30785.246257483093,,,0,5.3976076424965775,0
2,CUT 3,26,26.0,29.0,4.0,0.0,0.0155968109766642,0.0,0.0,4.0,0.0,0.0,30.931513922746504,978.5322865962058,24282.61797644771,,,0,,0
2,CUT 3,27,27.0,29.633,4.0,0.0,0.0151737764146592,0.0,0.0,4.0,0.0,0.0,34.503619114443055,955.8546822452925,24467.60760689477,,,0,,0
2,CUT 3,28,28.0,29.633,4.0,0.0,0.0134700934092203,0.0,0.0,4.0,0.0,0.0,30.73636214977761,803.2127595630096,21162.8640891053,,,0,,0
2,CUT 3,29,29.0,29.633,5.0,0.0,0.0136951981650458,0.0,0.0,5.0,0.0,0.0,27.08566299129373,717.8755178034429,19453.73697830284,,,0,,0
2,CUT 4,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,0
2,CUT 4,1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.270282751394138,209.2473907193549,4276.173603488914,,,0,10.198455487382155,0
2,CUT 4,2,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.579443941091844,186.3813218162156,4153.221278181365,,,0,19.121036314134344,0
2,CUT 4,3,3.0,6.0,1.0,0.0,0.0001649949534071,0.0,0.0,1.0,0.0,0.0,7.178284950219177,150.0344648444924,3336.875897347289,,,0,35.9846727954518,0
2,CUT 4,4,4.0,7.0,1.0,0.0,0.0001626077873839,0.0,0.0,1.0,0.0,0.0,4.729957909176848,76.00610175658471,1947.981891297616,,,0,,0
2,CUT 4,5,5.0,8.0,1.0,0.0,0.0001645947661664,0.0,0.0,1.0,0.0,0.0,6.957186974724336,184.66583514624668,3932.6929846992007,,,0,21.202222409007096,0
2,CUT 4,6,6.0,9.0,1.0,0.0,0.0001903638905949,0.0,0.0,1.0,0.0,0.0,9.125091573627031,197.36403462674147,4831.802558030458,,,0,9.881150153153031,0
2,CUT 4,7,7.0,10.0,2.0,0.0,0.0005111141502857,0.0,0.0,2.0,0.0,0.0,29.77361746067361,671.5388963064655,18074.53760618761,,,0,1.4267319682523143,1
2,CUT 4,8,8.0,11.0,2.0,0.0,0.0009345066547393,0.0,0.0,2.0,0.0,0.0,47.91440681756731,933.8916868219482,24035.880257689987,,,0,1.8094037052852103,1
2,CUT 4,9,9.0,12.0,2.0,0.0,0.0014352803760104,0.0,0.0,2.0,0.0,0.0,121.47177718513016,3761.979096009118,91835.77679771376,,,0,0.9990712521328442,2
2,CUT 4,10,10.0,13.0,2.0,0.0,0.0007165466414557,0.0,0.0,2.0,0.0,0.0,125.81009815113585,3877.3969384088696,95012.57665073004,,,0,0.9990712521328442,2
2,CUT 4,11,11.0,14.0,2.0,0.0,0.0006493285298347,0.0,0.0,2.0,0.0,0.0,140.17643260092802,4349.841863468511,139052.0320737981,,,0,0.6974522609668639,2
2,CUT 4,12,12.0,15.0,1.0,0.0,0.0003330845965279,0.0,0.0,1.0,0.0,0.0,11.08798671725509,286.4245651526372,5185.146142229645,,,0,3.17533395460598,0
2,CUT 4,13,13.0,16.0,2.0,0.0,0.0008982471956147,0.0,0.0,2.0,0.0,0.0,23.2986993690257,596.2931030786029,13330.49963189711,,,0,3.436302788435865,0
2,CUT 4,14,14.0,17.0,2.0,0.0,0.0013590563668145,0.0,0.0,2.0,0.0,0.0,23.590782461352998,646.5917243120132,14784.28006679258,,,0,3.769041026304065,0
2,CUT 4,15,15.0,18.0,2.0,0.0,0.0021067786879009,0.0,0.0,2.0,0.0,0.0,22.78895434733157,632.5874153467058,14523.982166466656,,,0,3.876022433466703,0
2,CUT 4,16,16.0,19.0,2.0,0.0,0.0032248995039198,0.0,0.0,2.0,0.0,0.0,118.29653634257858,3218.0385956162468,45815.310850525006,,,0,3.328321110964444,0
2,CUT 4,17,17.0,20.0,2.0,0.0,0.004046045674218,0.0,0.0,2.0,0.0,0.0,196.63468991615864,6188.860906236299,103028.5867132072,,,0,0.1918097145075467,3
2,CUT 4,18,18.0,21.0,1.0,0.0,0.0040624909930759,0.0,0.0,1.0,0.0,0.0,236.92961043871728,8903.969047406099,149281.5794936766,,,0,0.4197583740422794,3
2,CUT 4,19,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.6078980911448,11580.203907342666,195362.73846935,,,0,0.4197583740422794,2
2,CUT 4,20,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4718697561831376,,,,,0,,0
2,CUT 4,21,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,0
2,CUT 4,22,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,0
2,CUT 4,23,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,0
2,CUT 4,24,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,0
2,CUT 4,25,25.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,0
2,CUT 4,26,26.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,,0
2,CUT 4,27,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0,,0
2,CUT 4,28,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.2860783636536235,51.99842951322602,1044.548124547984,,,0,5.271921451131739,0
2,CUT 4,29,29.0,32.0,1.0,0.0,0.0001809738659196,0.0,0.0,1.0,1.0,0.0,6.779858430226144,106.0461186631634,2734.7435866664973,,,0,3.027318332827584,0
